Сильный холод.|стужа
Треугольный нишеобразный свод, обычно применяемый при возведении купола над четырехугольным помещением (в архитектуре).|тромп
Длинный пустотелый - обычно круглого сечения - предмет для провода жидкости, газа, пара и т.п.|труба
Духовой медный музыкальный инструмент высокого регистра с согнутым в один оборот цилиндрическим или коническим полым корпусом и раструбом на конце.|труба
Название научных журналов, сборников.|труды
Короткие спортивные штаны.|трусы
Предмет мужского и женского нижнего белья.|трусы
Рассыпчатая или рассыпающаяся сухая масса.|труха
Тонкая шелковая ткань полотняного переплетения.|туаль
Трубка, в которой заключены окуляры микроскопа.|тубус
Элемент конструкции медицинских приборов.|тубус
Пойменный лес речных долин пустынной и полупустынной зоны.|тугай
Небольшая промысловая рыба рода сигов.|тугун
Химический элемент, относящийся к лантаноидам; редкий металл, встречающийся в природе в соединениях.|тулий
Плетеная корзина в форме низкой бутылки с широким горлышком, обложенная непромокаемой материей.|тулуз
Кожаный мешок, используемый на Кавказе для различных надобностей.|тулук
Длинная свободного покроя шуба - обычно из овчины - с большим воротником.|тулуп
Основная, верхняя часть шляпы, фуражки, шапки.|тулья
Помесь зайца-беляка с русаком.|тумак
Непрозрачное состояние воздуха в нижних слоях атмосферы вследствие скопления в нем водяных паров.|туман
Иранская золотая монета, имевшая хождение до 1932 г.|туман
Широкий и низкий столб у тротуара или дороги.|тумба
Деревянное сооружение цилиндрической формы для наклейки афиш, объявлений и т.п.|тумба
Широкая подставка подо.|тумба
Крупная костистая хищная рыба семейства макрелевых.|тунец
Северная морская птица, имеющая сильно развитый клюв.|тупик
Улица, переулок, не имеющие сквозного прохода или проезда.|тупик
Птица семейства фазановых.|турач
Суживающийся кверху открытый сосуд с длинной ручкой, предназначенный для варки кофе.|турка
Народ, составляющий основное население Турции.|турки
Надзиратель в учебном заведении (в Российском государстве до 1917 г.).|тутор
Обувь, закрывающая ногу не выше щиколотки.|туфли
Выпотрошенная рыба без головы и хвоста.|тушка
Овощное растение семейства тыквенных, имеющее стелющийся стебель и крупные плоды круглой или овальной формы.|тыква
Устройство в виде заграждения из кольев для ловли тетеревов (в речи охотников).|тынок
Разновидность ковыля.|тырса
Смесь песка и опилок, которой посыпают арену цирка.|тырса
Короткая боковая поверхность кирпича, камня (в строительном деле).|тычок
Мягкая трубочка для хранения полужидкого вещества, содержимое которой извлекается выдавливанием.|тюбик
Группа родственных народов, говорящих на тюркских языках.|тюрки
Мешок, набитый мягким и служащий постелью.|тюфяк
Гибкое покрытие, применяемое у мостов, плотин для предохранения русла реки и берегов от размыва (в гидротехнике).|тюфяк
Полочка, ярус для икон в иконостасе.|тябло
Специальный автомобиль или трактор с сильной тягой для буксировки прицепов.|тягач
Государственные повинности крестьян и посадских людей в Российском государстве в XV в. - начале XVIII в.|тягло
Крепостная повинность (барщина или оброк), взимавшаяся с трудоспособных членов крестьянской семьи.|тягло
Семья (муж и жена), а также определенное количество трудоспособных лиц в крепостной крестьянской семье как единица при разверстке барщины, оброка и государственного обложения (в крепостническом хозяйстве Российского государства в XVIII-XIX вв.).|тягло
Рабочий скот как средство тяги в сельском хозяйстве.|тягло
Орудие для ручного окучивания, рыхления междурядий.|тяпка
Орудие для рубки; сечка.|тяпка
Косметический состав для окраски в черный цвет бороды и усов, а также для придания усам определенной формы.|фабра
Благосклонность, покровительство, предпочтение.|фавор
Инфекционное грибковое заболевание, характеризующееся поражением кожи волосистой части головы, ногтей, а иногда и внутренних органов.|фавус
Конечная часть сложных существительных, вносящая значение: поедающий, поглощающий то, что указывается в первой части слова (ихтиофаг, фитофаг и т.п.).|фавус
Деревянный музыкальный духовой инструмент тенорово-басового диапазона с коническим - слегка расширяющимся - каналом и двойной тростью.|фагот
Английская мера длины, равная 6 футам (или 1.83 м).|фадом
Крупная птица отряда куриных с ярким оперением.|фазан
Мусульманский аскет, давший обет нищенства.|факир
Бродячий фокусник.|факир
Фокусник, демонстрирующий нечувствительность к боли.|факир
Мягкая, конусообразная продольная складка на одежде.|фалда
Одна из двух нижних частей разрезной спинки мундира, фрака и т.п.|фалда
Прямоугольная канавка, вырезаемая вдоль края скрепляемых досок и камней, предназначенных для постройки лестниц, стен и т.п.|фальц
Небольшой крестьянский дом на каркасе из деревянных столбов в Китае или Корее.|фанза
Игра, участники которой исполняют - обычно шуточные - задания, назначаемые по жребию владельцу фанта.|фанты
Наружная сторона здания, сооружения.|фасад
Модель, покрой, образец, по которому изготовлена одежда, обувь, головные уборы.|фасон
Внешняя форма изделия.|фасон
Судьба, рок, неизбежность.|фатум
Исторически сложившаяся совокупность животных систематической группы, определенной местности, страны или геологической эпохи.|фауна
Пласт осадочной горной породы, отличающийся одинаковым составом, физико-химическими свойствами и заключающий в себе одинаковую ископаемую фауну и флору.|фация
Белая или цветная масса из особых сортов глины с примесью гипса и некоторых других веществ, идущая на изготовление керамических изделий.|фаянс
Органическое соединение, производное бензола, используемое для дезинфекции, в качестве антисептика, в производстве синтетических смол, красителей, взрывчатых веществ.|фенол
Сильнейшая фигура в шахматной игре, передвигаемая на любое число полей по прямой или по диагонали во всех направлениях; королева.|ферзь
Частное крестьянское сельскохозяйственное предприятие на собственной или арендованной земле.|ферма
Специализированное хозяйственное предприятие совхоза или колхоза, занимающееся определенной отраслью сельского хозяйства.|ферма
Инженерное сооружение, состоящее из соединенных между собою стержней.|ферма
Мужской головной убор в форме усеченного конуса, обычно красного цвета, с кисточкой.|феска
Неодушевленный предмет, наделенный - по представлениям верующих - сверхъестественной силой и являющийся объектом религиозного поклонения.|фетиш
